Airplane.Type,Avg_Injuries_per_Incident,Risk.Score,Weighted_Risk,Damage_Risk,Severity_Risk,Number.of.Engines
air creation clipper,2.0,6.0,28.673316267984816,2.0,2.0,1.0
air creation clipper 582s,1.0,2.0,4.778886044664136,2.0,1.0,1.0
air creation clipper 912,0.0,0.0,0.0,2.0,1.0,1.0
air creation gte,1.0,1.0,2.389443022332068,2.0,1.0,1.0
air gulfstream airlines inc sx-300,0.0,0.0,0.0,2.0,1.0,1.0
air tractor 301,0.4,1.0,1.2425103716126755,2.2,1.2,1.0
air tractor 301a,1.0,1.0,3.584164533498102,3.0,1.0,1.0
air tractor 401-0860,0.0,0.0,0.0,2.0,1.0,1.0
air tractor 402a,0.0,0.0,0.0,2.0,1.0,1.0
air tractor 402b,0.0,0.0,0.0,2.0,1.0,1.0
air tractor 502a,0.0,0.0,0.0,2.0,1.0,1.0
air tractor 502b,0.0,0.0,0.0,2.0,1.0,1.0
air tractor at 301,0.0,0.0,0.0,2.25,1.0,1.0
air tractor at 400a,0.0,0.0,0.0,2.0,1.0,1.0
air tractor at 401,1.0,2.0,4.778886044664136,2.0,1.0,1.0
air tractor at 402,0.0,0.0,0.0,2.5,1.0,1.0
air tractor at 502,0.4285714285714285,1.1428571428571428,1.6092167293256783,2.142857142857143,1.2857142857142858,0.8571428571428571
air tractor at 602,0.18181818181818185,0.2727272727272727,0.11848477796687941,2.0,1.0,1.0
air tractor at-301,0.33333333333333326,0.5,0.39824050372201136,2.111111111111111,1.0,1.0
air tractor at-301a,0.0,0.0,0.0,2.3333333333333335,1.0,1.0
air tractor at-301b,1.0,2.0,4.778886044664136,2.0,1.0,1.0
air tractor at-400,0.4285714285714285,1.2857142857142858,1.5360705143563291,2.142857142857143,1.2857142857142858,1.0
air tractor at-400a,0.0,0.0,0.0,2.0,1.0,1.0
air tractor at-401,0.4285714285714285,0.8571428571428571,1.0240470095708862,2.142857142857143,1.0,1.0
air tractor at-402,0.2,0.2,0.09557772089328273,2.0,1.0,1.0
air tractor at-402a,0.5,0.5,0.597360755583017,2.0,1.0,1.0
air tractor at-402b,0.25,0.5,0.44802056668726276,2.25,1.0,1.0
air tractor at-502,0.3333333333333333,0.4444444444444444,0.39824050372201136,2.111111111111111,1.0,1.0
air tractor at-502b,0.08333333333333333,0.25,0.04978006296525142,2.0833333333333335,1.0833333333333333,1.0
air tractor at-504,0.0,0.0,0.0,2.0,1.0,1.0
air tractor at-602,0.4615384615384616,0.8461538461538461,1.1876521531117972,2.1538461538461537,1.1538461538461537,1.0
air tractor at-802,0.0,0.0,0.0,2.0,1.0,1.0
air tractor at-802a,0.4285714285714285,1.1428571428571428,1.3897780844176313,2.142857142857143,1.2857142857142858,1.0
air tractor at301,0.5,1.0,1.194721511166034,2.0,1.0,1.0
air tractor at400,1.0,3.0,7.168329066996204,2.0,2.0,0.0
air tractor at401,0.3333333333333333,0.3333333333333333,0.39824050372201136,2.3333333333333335,1.3333333333333333,1.0
air tractor at402,0.25,0.25,0.22401028334363138,2.25,1.0,0.75
air tractor at502,0.6785714285714285,1.6785714285714286,3.329676660583909,2.2142857142857144,1.3571428571428572,0.8928571428571429
air tractor at503,1.0,2.0,4.778886044664136,2.0,1.0,1.0
air tractor at602,0.28571428571428564,0.8571428571428571,0.5851697197547922,2.0,1.2857142857142858,1.0
air tractor at802,0.5,1.0,1.4507332635587555,2.0714285714285716,1.2142857142857142,0.7857142857142857
air tractor inc at,0.0,0.0,0.0,2.0,1.0,1.0
air tractor inc at 301,0.0,0.0,0.0,2.0,1.0,1.0
air tractor inc at 400,1.0,1.0,2.389443022332068,2.0,1.0,1.0
air tractor inc at 401,0.0,0.0,0.0,2.0,1.0,1.0
air tractor inc at 401b,1.0,2.0,4.778886044664136,2.0,1.5,0.5
air tractor inc at 402,0.3333333333333333,1.0,1.194721511166034,2.3333333333333335,1.3333333333333333,0.6666666666666666
air tractor inc at 402a,0.6666666666666666,1.3333333333333333,2.1239493531840608,1.6666666666666667,1.0,1.0
air tractor inc at 402b,0.4,0.8,0.7646217671462618,2.0,1.0,1.0
air tractor inc at 502,0.3846153846153847,0.9230769230769231,1.1310972886779023,2.3076923076923075,1.1538461538461537,1.0
air tractor inc at 502b,0.6111111111111109,1.3333333333333333,2.3525689016170674,2.2222222222222223,1.2777777777777777,0.8888888888888888
air tractor inc at 602,0.5999999999999999,1.8,3.225748080148292,2.3,1.6,0.6
air tractor inc at 802,0.29999999999999993,0.5,0.3584164533498102,2.0,1.0,1.0
air tractor inc at 802a,0.0,0.0,0.0,2.0,1.0,0.6666666666666666
air tractor inc at-301,0.24000000000000013,0.56,0.3211411422014299,2.0,1.08,1.0
air tractor inc at-301a,0.5,1.0,1.194721511166034,2.0,1.0,1.0
air tractor inc at-302,0.0,0.0,0.0,2.0,1.0,0.0
air tractor inc at-400,0.0,0.0,0.0,2.0,1.0,1.0
air tractor inc at-400a,0.5,1.0,1.194721511166034,2.0,1.0,1.0
air tractor inc at-401,0.0,0.0,0.0,2.2,1.0,1.0
air tractor inc at-402,0.0,0.0,0.0,2.0,1.0,1.0
air tractor inc at-402a,0.5,0.5,0.597360755583017,2.0,1.0,1.0
air tractor inc at-402b,0.2,0.6,0.2867331626798482,2.0,1.2,1.0
air tractor inc at-502,0.3333333333333333,0.6666666666666666,0.5309873382960152,2.0,1.0,1.0
air tractor inc at-502b,0.3333333333333332,0.625,0.4978006296525142,1.9583333333333333,1.2083333333333333,1.0
air tractor inc at-602,0.47368421052631576,1.1578947368421053,1.48926504161971,2.1052631578947367,1.263157894736842,1.0
air tractor inc at-802,0.5,1.5,1.792082266749051,2.0,1.5,1.0
air tractor inc at-802a,1.0,2.0,5.647774416421252,2.3636363636363638,1.8181818181818181,1.0
air tractor inc. at-301,0.0,0.0,0.0,2.0,1.0,1.0
air tractor inc. at-502,0.5,1.0,1.194721511166034,2.0,1.0,1.0
"air tractor, inc. at-400",1.0,1.0,2.389443022332068,2.0,1.0,1.0
airborne edge,1.0,3.0,7.168329066996204,2.0,2.0,1.0
airborne extreme llc sq-12,0.0,0.0,0.0,2.0,1.0,1.0
airborne redback,1.0,1.0,2.389443022332068,2.0,1.0,1.0
airborne windsports ltd classic,2.0,3.0,14.336658133992408,2.0,1.0,1.0
airborne xt912,1.0,2.0,4.778886044664136,2.0,1.0,1.0
airbus 320,0.0,0.0,0.0,2.0,1.0,2.0
airbus 321,0.0,0.0,0.0,2.0,1.0,2.0
airbus a-320-200,0.0,0.0,0.0,1.0,1.0,2.0
airbus a220,0.0,0.0,0.0,1.0,1.0,2.0
airbus a300 - f4 622r,2.0,6.0,43.009974401977225,3.0,2.0,2.0
airbus a300b4-203,5.0,15.0,268.81234001235765,3.0,2.0,2.0
airbus a319,0.0,0.0,0.0,1.0,1.0,2.0
airbus a319 112,0.0,0.0,0.0,1.0,1.0,2.0
airbus a319 115,0.0,0.0,0.0,1.0,1.0,2.0
airbus a319 132,0.0,0.0,0.0,1.0,1.0,2.0
airbus a319-111,0.0,0.0,0.0,1.0,1.0,2.0
airbus a320,31.333333333333332,91.66666666666667,10213.408705289277,2.0,1.3333333333333333,1.6666666666666667
airbus a320 - 211,28.0,56.0,3746.646659016683,2.0,1.0,2.0
airbus a320 - 214,0.0,0.0,0.0,2.0,1.0,2.0
airbus a320 232,13.5,27.0,435.47599082001943,1.0,1.0,2.0
airbus a320-232,3.5,7.0,29.270677023567835,1.0,2.0,2.0
airbus a321,39.25,117.75,16564.88842241151,2.0,1.25,2.0
airbus a321 231,0.0,0.0,0.0,1.6666666666666667,1.0,2.0
airbus a321-271n,0.0,0.0,0.0,2.0,1.0,2.0
airbus a330,28.25,82.0,7998.95919763439,1.5,1.25,1.5
airbus a330 323,0.0,0.0,0.0,2.0,1.0,2.0
airbus a340 - 300,0.0,0.0,0.0,1.0,1.0,4.0
airbus a380,0.0,0.0,0.0,2.0,1.0,4.0
airbus f4-622r,0.0,0.0,0.0,2.0,1.0,2.0
airbus industrie 300b4-200,0.0,0.0,0.0,1.0,3.0,2.0
airbus industrie 319,0.0,0.0,0.0,1.0,3.0,0.0
airbus industrie a 310,179.0,517.0,331689.33842351486,3.0,2.0,0.0
airbus industrie a-319-114,8.0,9.0,172.0398976079089,2.0,1.0,2.0
airbus industrie a300,0.0,0.0,0.0,1.0,3.0,0.0
airbus industrie a310,0.0,0.0,0.0,2.0,1.0,0.0
airbus industrie a319-112,0.0,0.0,0.0,1.0,1.0,2.0
airbus industrie a319-114,0.0,0.0,0.0,1.5,1.0,2.0
airbus industrie a319-131,3.0,6.0,21.504987200988612,1.0,1.0,2.0
airbus industrie a319-132,3.0,4.0,14.336658133992408,1.0,1.0,2.0
airbus industrie a320,0.5,1.0,0.597360755583017,1.0,2.0,1.0
airbus industrie a320 211,0.0,0.0,0.0,1.5,1.0,2.0
airbus industrie a320-211,0.0,0.0,0.0,1.0,2.0,2.0
airbus industrie a320-232,1.0,1.0,1.194721511166034,1.0,3.0,2.0
airbus industrie a330-323,0.0,0.0,0.0,1.0,1.0,2.0
aircraft mfg & design llc ch601xl slsa,1.0,3.0,10.752493600494306,3.0,2.0,1.0
aircraft mfg & design llc ch750 stol,0.0,0.0,0.0,2.0,1.0,1.0
aircraft mfg & dev. co. (amd) ch 2000,0.0,0.0,0.0,2.0,1.0,1.0
aircraft mfg & dev. co. (amd) ch-2000,0.0,0.0,0.0,2.0,1.0,1.0
aircraft mfg & dev. co. (amd) ch2000,0.0,0.0,0.0,2.0,1.0,1.0
aircraft mfg & dev. co. (amd) ch2t,0.0,0.0,0.0,2.0,1.0,1.0
aircraft mfg & dev. co. (amd) ch601xl slsa,2.0,6.0,43.009974401977225,3.0,2.0,1.0
aircraft mfg & dev. co. (amd) ch601xli,2.0,3.0,14.336658133992408,2.0,1.0,1.0
aircraft mfg & dev. co. ch 2000,0.0,0.0,0.0,2.0,1.0,1.0
aircraft mfg & development co ch 2000,1.3333333333333333,3.0,9.557772089328273,2.0,1.3333333333333333,1.0
aircraft mfg & development co ch 601xl s,0.0,0.0,0.0,2.0,1.0,1.0
aircraft mfg & dvlpmt co ch601xl,2.0,6.0,43.009974401977225,3.0,2.0,1.0
